Titulo,Orgao,Tipos de Atendimento,Solicitação pela Internet,Entidade,Secretaria,Tipo,Forma Solicitação,Tipo Sistema,Observações
Certidão de Anuência Prévia/Conformidade de Desmembramento com mais de 10 Lotes,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certidão de Confrontação,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certidão de Demolição,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certidão de Desapropriação,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certidão de Desdobro e Desmembramentos de Lotes,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certidão de Projeto Aprovado,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certidão de Uso e Ocupação do Solo,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certificado de Conclusão de Obra,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Certificado de Inspeção Técnica de Edificações,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.aprova.com.br/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Cópia de Planta de Loteamentos,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Cópia e busca de Planta de Projetos/Documentos,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Cópias de Mapas da Cidade,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Descaucionamento de Lotes,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Laudo de Vistoria Final de Desmembramento (mais de 10 Lotes),Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Laudo de Vistoria Final de Loteamento,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Licença para Reforma,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Retificação do Título de Registro de Profissional ou de Firma,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Substituição de Projeto Integrante de Anuência Prévia de Loteamento,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.aprova.com.br/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Termo de Referência para Elaboração de Estudo Prévio de Impacto de Vizinhança (EIV) ou dispensa,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.aprova.com.br/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Termo de Revalidação Certidão de Uso e Ocupação do Solo,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Titulo de Registro de Firma,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Titulo de Registro de Profissional,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Resultados de Exames,Secretaria de Saúde e Bem-Estar,Online,http://cejam.lisnet.com.br/laudos/,Prefeitura,Saúde e Bem-Estar,Informação,Cejam.Lisnet,Terceirizado,
Cadastro de Vagas de Emprego (Mogi Conecta),Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogiconectaemprego.mogidascruzes.sp.gov.br/register,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Citybox,Terceirizado,
Vagas de Emprego (Mogi Conecta),Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogiconectaemprego.mogidascruzes.sp.gov.br/login/candidato,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Citybox,Terceirizado,
Atendimento ao Cidadão (Ouvidoria),Ouvidoria Geral,"Online, Presencial, Telefone, Whatsapp",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/solicitacoes-e-ouvidorias,Prefeitura,Gabinete da Prefeita,Serviço,Colab,Terceirizado,
Castração com Microchipagem,Secretaria de Meio Ambiente e Proteção Animal,"Online, Presencial",,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Colab,Terceirizado,
